word,weight,,
inspired,0.7142857142857143,,
insult,0.5,,
insulting,0.6,,
insults,0.6666666666666666,,
insurance,0.14285714285714285,,
integrity,0.2,,
intellectual,0.2,,
intend,0.6,,
interesting,0,,
introduction,0.7142857142857143,,
investments,0.2,,
involved,0.2,,
iowa,0,,
isn,0.7142857142857143,,
isn’t,0.8571428571428571,,
israel,0,,
issues,0.125,,
it,0.12831858407079647,,
it’s,0.6705882352941176,,
itself,0.14285714285714285,,
iwillvote,0.5,,
jackson,0.6,,
jamira,0.5,,
jersey,0.5,,
jim,0.6666666666666666,,
joe,0.5,,
john,0.7142857142857143,,
join,0.48148148148148145,,
joining,0,,
jordan,0.6666666666666666,,
joy,0,,
joyce,0.6,,
judge,0.42857142857142855,,
july,0.5,,
just,0.47651006711409394,,
justice,0,,
kaine,0.6,,
keep,0.04918032786885246,,
keeps,0,,
keith,0.5,,
kennedy,0.6,,
kent,0.6,,
kept,0.75,,
keys,0.6,,
khan,0.5,,
kid,0.6,,
kids,0.75,,
killed,0.21739130434782608,,
kind,0.9166666666666666,,
kindness,0.6666666666666666,,
king,0.7142857142857143,,
knock,0.6,,
knocked,0.6666666666666666,,
know,0.5036496350364964,,
knows,0.2,,
labor,0.5,,
lace,0.5,,
laden,0.6,,
lady,0.8181818181818182,,
lamont,0.5,,
larger,0.5,,
lasted,0.5,,
late,0,,
later,0.5555555555555556,,
latinos,0,,
laughing,0.5,,
launch,0.75,,
launching,0,,
lauren,0.8,,
lawyer,0.6666666666666666,,
lead,0.07692307692307693,,
leader,0,,
leaders,0.2,,
leadership,0.23076923076923078,,
leading,0.2,,
leads,0.5,,
leah,0.6,,
learn,0.7142857142857143,,
learned,0.5294117647058824,,
leave,0,,
led,0,,
lee,0.5,,
left,0.14285714285714285,,
lesson,0.6,,
lessons,0.5,,
let,0.23636363636363636,,
let’s,0.9310344827586207,,
letter,0,,
lgbt,0.6666666666666666,,
liberate,0,,
lie,0,,
life,0.5769230769230769,,
lifelong,0.5,,
lifetimes,0.6666666666666666,,
lift,0.058823529411764705,,
lifting,0.6,,
like,0.31313131313131315,,
line,0,,
lines,0.14285714285714285,,
list,0,,
listen,0.14285714285714285,,
listening,0.7142857142857143,,
literally,0.5,,
little,0.75,,
live,0.4444444444444444,,
lived,0,,
lives,0.37254901960784315,,
loans,0,,
lobby,0.7142857142857143,,
long,0.21212121212121213,,
look,0.6923076923076923,,
looked,0.6666666666666666,,
looking,0.4117647058823529,,
looks,0.75,,
loophole,0.5,,
loose,0.5,,
loses,0.2,,
lot,0.47619047619047616,,
lots,0.5,,
love,0.1,,
loved,0.45454545454545453,,
loves,0,,
lucie,0.5,,
lunch,0.5,,
m,0.10344827586206896,,
made,0.1836734693877551,,
magnificent,0.5,,
mail,0,,
major,0,,
make,0.24822695035460993,,
makes,0.6,,
making,0.2,,
man,0.15384615384615385,,
managed,0.5,,
manning,0.5,,
many,0.2571428571428571,,
march,0.2,,
marian,0.8181818181818182,,
marines,0,,
mark,0.7777777777777778,,
martin,0.6,,
massachusetts,0.6666666666666666,,
matter,0.6190476190476191,,
matters,0.6,,
may,0.5714285714285714,,
maybe,0.8,,
mayor,0.6666666666666666,,
mccain,0.5,,
me,0.3559322033898305,,
meaning,0,,
measures,0.6,,
meet,0.45454545454545453,,
meeting,0.4,,
member,0.25,,
men,0.15,,
mental,0.5,,
met,0.4,,
methodist,0.6,,
mexican,0.2,,
michael,0.2,,
michelle,0.75,,
might,0.8461538461538461,,
mikey,0.6,,
milestone,0.5,,
mill,0.5,,
millions,0.03225806451612903,,
mind,0.5,,
minded,0.2,,
minds,0,,
mine,0.7142857142857143,,
minor,0,,
minute,0.75,,
minutes,0.2,,
miss,0.75,,
miss,0.5,,
mission,0,,
mississippi,0.6,,
mistake,0.7777777777777778,,
mobility,0,,
moment,0,,
monday,0,,
month,0.5,,
months,0,,
montrell,0.5,,
moore,0.6,,
more,0.23684210526315788,,
morning,0.5,,
most,0.06382978723404255,,
mother,0.7692307692307693,,
mothers,0.5,,
motto,0.5,,
mourning,0,,
moved,0.5,,
moving,0.14285714285714285,,
mrs,0,,
much,0.34328358208955223,,
muslim,0,,
muslims,0.5,,
my,0.1693548387096774,,
myself,0.5,,
naacp,0.5,,
name,0.5384615384615384,,
named,0.38461538461538464,,
names,0,,
necessary,0.2,,
need,0.5625,,
needed,0.5,,
negativity,0.5,,
neglected,0.14285714285714285,,
neighborhood,0.5,,
neighbors,0.5,,
never,0.037037037037037035,,
next,0.4838709677419355,,
night,0.5,,
nine,0.5555555555555556,,
no,0.05454545454545454,,
noise,0.5,,
nomination,0,,
nominee,0.5,,
none,0,,
not,0.33884297520661155,,
notable,0.5,,
noticed,0.6,,
notion,0.5,,
now,0.4262295081967213,,
nuclear,0.5652173913043478,,
nurses,0.5,,
obama’s,0.5,,
obligation,0,,
odd,0.5,,
odds,0.7142857142857143,,
off,0,,
offenders,0,,
offense,0.2,,
offenses,0,,
offer,0.6,,
offering,0.42857142857142855,,
officer,0.7142857142857143,,
officers,0.4,,
often,0.5,,
ohio,0.38461538461538464,,
okay,0.7142857142857143,,
old,0.13043478260869565,,
older,0.75,,
one,0.038461538461538464,,
one’s,0.5,,
ones,0.2,,
online,0.5,,
only,0,,
onto,0,,
opponents,0,,
opportunities,0.3,,
opportunity,0.75,,
optimistic,0.5,,
or,0.3188405797101449,,
orders,0,,
organizations,0,,
organized,0,,
osama,0.6,,
other,0.1958762886597938,,
other’s,0.6,,
others,0.5,,
ours,0.5,,
ourselves,0.5714285714285714,,
out,0.20833333333333334,,
outrageous,0,,
own,0.08108108108108109,,
owned,0.5,,
owners,0.6,,
pageant,0.6666666666666666,,
paid,0.5,,
pain,0,,
painful,0.6,,
paralyzed,0.5,,
paranoia,0.5,,
parent,0,,
parents,0.36,,
parking,0.5,,
part,0.6216216216216216,,
participate,0.6,,
particular,0,,
particularly,0.6666666666666666,,
parties,0.6,,
party,0.5,,
pasco,0.6666666666666666,,
pass,0,,
passed,0.7142857142857143,,
passion,0.6,,
past,0.06666666666666667,,
path,0.2727272727272727,,
patrick,0.2,,
patriotic,0.2,,
pay,0.1111111111111111,,
paying,0.2,,
pence,0,,
people,0.2846715328467153,,
perfect,0.6,,
performed,0,,
period,0.2,,
person,0.5294117647058824,,
personal,0,,
personally,0,,
philadelphia,0.8181818181818182,,
phrase,0,,
physical,0,,
pick,0.2,,
picture,0,,
pit,0.6,,
pitch,0.5,,
pivotal,0.5,,
places,0.25,,
plain,0,,
planet,0.5,,
plans,0.25,,
platform,0.5,,
played,0.5,,
please,0.8181818181818182,,
police,0.15789473684210525,,
politics,0,,
polls,0.5555555555555556,,
population,0,,
porch,0.6,,
possible,0.5384615384615384,,
possibly,0.42857142857142855,,
potential,0.45454545454545453,,
powerful,0.06666666666666667,,
prayers,0.5,,
pre,0,,
precise,0.5,,
prejudice,0.5,,
prepared,0,,
presidency,0.2,,
president,0.3858267716535433,,
pretty,0.42857142857142855,,
prevail,0,,
