word,weight,
enterprise,0.3333333333333333,
paperwork,0.3333333333333333,
1997,0.3333333333333333,
premium,0.75,
low,0.38461538461538464,
merely,0.3333333333333333,
meant,0.3333333333333333,
wealth,0.7777777777777778,
means,0.3333333333333333,
funding,0.8333333333333334,
survive,0.3333333333333333,
clintons,0.6666666666666666,
shootings,0.3333333333333333,
interests,0.9333333333333333,
outlines,0.5,
crushing,0.3333333333333333,
endorsement,0.75,
experience,0.2727272727272727,
shores,0.5,
outlined,0.7142857142857143,
wasteful,0.3333333333333333,
zone,0.3333333333333333,
slashed,0.3333333333333333,
inappropriate,0.3333333333333333,
obtain,0.3333333333333333,
“some,0.3333333333333333,
raising,0.2,
fixing,0.14285714285714285,
curiosity,0.3333333333333333,
created,0.16666666666666666,
illegal,0.9775280898876404,
pause,0.3333333333333333,
countless,0.6666666666666666,
residents,0.5,
macdill,0.3333333333333333,
critical,0.3333333333333333,
mike,0.2,
“a,0.3333333333333333,
boards,0.5,
logistics,0.3333333333333333,
conversations,0.3333333333333333,
east,0.2,
manpower,0.3333333333333333,
relief,0.6666666666666666,
affirmed,0.3333333333333333,
unbelievable,0.3333333333333333,
seeking,0.3333333333333333,
third,0.5555555555555556,
earl,0.3333333333333333,
further,0.3333333333333333,
intangible,0.3333333333333333,
manipulators,0.3333333333333333,
outlets,0.5,
areas,0.5,
compassion,0.5,
conducting,0.6,
record,0.25,
chicago,0.6,
unclassify,0.3333333333333333,
preventing,0.3333333333333333,
going,0.24686192468619247,
carefully,0.3333333333333333,
mile,0.3333333333333333,
bill,0.23809523809523808,
senior,0.6666666666666666,
scandals,0.3333333333333333,
smear,0.3333333333333333,
mowed,0.3333333333333333,
treatment,0.3333333333333333,
grasp,0.5,
unlike,0.1111111111111111,
term,0.42857142857142855,
business,0.6571428571428571,
bureaucrats,0.3333333333333333,
afghanistan,0.3333333333333333,
repeals,0.3333333333333333,
under,0.746031746031746,
richest,0.3333333333333333,
proposing,0.7142857142857143,
dig,0.3333333333333333,
believing,0.2,
brings,0.3333333333333333,
considerate,0.3333333333333333,
forgotten,0.45454545454545453,
legal,0.2727272727272727,
midst,0.5,
journey,0.3333333333333333,
enforcement,0.8604651162790697,
thereafter,0.3333333333333333,
agreements,0.6,
louisiana,0.5,
occasions,0.3333333333333333,
expiration,0.3333333333333333,
gratefully,0.3333333333333333,
distract,0.3333333333333333,
occasion,0.3333333333333333,
hampshire,0.3333333333333333,
loan,0.3333333333333333,
importance,0.3333333333333333,
back,0.20408163265306123,
endless,0.3333333333333333,
states,0.44,
incentives,0.5,
company,0.7142857142857143,
billions,0.8,
length,0.3333333333333333,
concerns,0.25,
prosecutors,0.3333333333333333,
travels,0.3333333333333333,
crippling,0.3333333333333333,
grant,0.2,
industrialized,0.3333333333333333,
convert,0.3333333333333333,
attempt,0.3333333333333333,
supplies,0.3333333333333333,
revealed,0.3333333333333333,
proudly,0.3333333333333333,
dearly,0.3333333333333333,
lying,0.3333333333333333,
agendas,0.3333333333333333,
signed,0.3333333333333333,
being,0.06666666666666667,
classification,0.3333333333333333,
removing,0.6,
printed,0.3333333333333333,
field,0.6,
invalid,0.3333333333333333,
status,0.42857142857142855,
trading,0.3333333333333333,
server,0.8823529411764706,
don,0.2682926829268293,
serves,0.6666666666666666,
government,0.9080459770114943,
known,0.1111111111111111,
legally,0.5,
melania,0.5,
crime,0.9375,
wouldn,0.42857142857142855,
map,0.3333333333333333,
lacks,0.3333333333333333,
